Duration,sex,age,race,race_8_TEXT,pid1,ideo,pol_interest,pres_approval,state,educ,affective_Dem,affective_Rep,china_frenemy,china_threat,china_opp,tool_diplomacy,tool_sanction,tool_assist_c,tool_covertAction,tool_milthreat,tool_milforce,gender,age,hhi,ethnicity,hispanic,education,political_party,region
640,Female,67,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Approve Somewhat,North Dakota,High school graduate,20,60,Unfriendly,Agree Strongly,Neither Agree nor Disagree,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Neutral,Neutral,2,67,16,1,1,2,7,2
258,Female,68,Native American,,Independent / Other,Liberal,Not interested at all,Approve Strongly,Pennsylvania,High school graduate,28,48,Enemy,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,68,3,3,1,2,4,1
249,Female,41,White,,Independent / Other,Slightly conservative,Slightly interested,Disapprove Somewhat,New York,"Some college, but no degree (yet)",86,75,Unfriendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Very Acceptable,Somewhat Unacceptable,Neutral,Neutral,Somewhat Unacceptable,2,41,2,1,1,2,7,1
219,Female,34,White,,Republican,"Moderate, middle of the road",Moderately interested,Neither Approve nor Disapprove,Nebraska,"Some college, but no degree (yet)",59,44,Ally,Disagree Somewhat,Agree Slightly,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,34,18,1,1,4,9,2
243,Male,25,Black or African American,,Democrat,"Moderate, middle of the road",Very interested,Approve Somewhat,Michigan,High school graduate,50,37,Friendly,Disagree Slightly,Disagree Slightly,Neutral,Very Unacceptable,Neutral,Somewhat Unacceptable,Very Unacceptable,Neutral,1,25,1,2,1,2,1,2
295,Female,29,Black or African American,,Democrat,Liberal,Extremely interested,Disapprove Somewhat,Connecticut,4-year college degree,100,0,Unfriendly,Agree Somewhat,Agree Slightly,Very Acceptable,Somewhat Acceptable,Neutral,Somewhat Unacceptable,Very Unacceptable,Somewhat Acceptable,2,29,1,2,1,6,1,1
508,Male,62,White,,Democrat,Extremely liberal,Extremely interested,Disapprove Strongly,Florida,4-year college degree,99,15,Ally,Disagree Strongly,Agree Strongly,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,1,62,8,1,1,6,1,3
247,Female,21,Black or African American,,Republican,Conservative,Extremely interested,Disapprove Somewhat,Maryland,Did not graduate from high school,84,53,Friendly,Agree Slightly,Agree Slightly,Somewhat Unacceptable,Very Unacceptable,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,2,21,1,2,1,2,10,3
315,Female,34,White,,Independent / Other,"Moderate, middle of the road",Very interested,Approve Strongly,Florida,High school graduate,10,81,Friendly,Neither Agree nor Disagree,Agree Slightly,Very Acceptable,Neutral,Somewhat Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,2,34,4,1,1,2,5,3
318,Female,44,White,,Republican,Slightly conservative,Moderately interested,Approve Somewhat,Minnesota,High school graduate,22,98,Friendly,Disagree Somewhat,Agree Slightly,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,44,5,1,1,2,5,2
700,Male,61,White,,Republican,Conservative,Extremely interested,Approve Strongly,Wisconsin,4-year college degree,3,83,Enemy,Agree Slightly,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,1,61,12,1,1,6,10,2
143,Female,46,White,,Republican,Slightly liberal,Moderately interested,Neither Approve nor Disapprove,Florida,High school graduate,78,96,Unfriendly,Disagree Somewhat,Disagree Somewhat,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Neutral,Neutral,Neutral,2,46,9,1,1,2,9,3
219,Female,32,Black or African American,,Democrat,Extremely liberal,Very interested,Disapprove Strongly,Texas,4-year college degree,10,16,Enemy,Agree Strongly,Disagree Strongly,Very Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Acceptable,Very Acceptable,2,32,13,2,1,6,1,3
266,Male,32,White,,Republican,Slightly conservative,Slightly interested,Approve Somewhat,Texas,4-year college degree,34,66,Friendly,Neither Agree nor Disagree,Agree Slightly,Somewhat Acceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,1,32,6,1,1,6,9,3
302,Female,19,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Michigan,High school graduate,82,26,Ally,Disagree Slightly,Agree Somewhat,Very Acceptable,Very Unacceptable,Neutral,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,2,19,5,1,1,2,7,2
430,Female,31,White,,Independent / Other,Slightly conservative,Moderately interested,Disapprove Somewhat,Virginia,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",36,56,Unfriendly,Agree Slightly,Agree Slightly,Very Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Acceptable,Neutral,2,31,11,1,1,7,5,3
166,Female,33,White,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,New Jersey,"Some college, but no degree (yet)",51,50,Friendly,Neither Agree nor Disagree,Agree Slightly,Somewhat Unacceptable,Neutral,Neutral,Neutral,Neutral,Somewhat Unacceptable,2,33,12,1,1,4,2,1
153,Male,34,White,,Independent / Other,Slightly conservative,Not interested at all,Disapprove Strongly,Alabama,2-year college degree,50,44,Friendly,Disagree Slightly,Agree Somewhat,Somewhat Acceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,37,7,1,1,6,2,3
340,Female,43,White,,Independent / Other,Extremely liberal,Not interested at all,Disapprove Somewhat,Virginia,"Some college, but no degree (yet)",73,34,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Very Acceptable,Very Unacceptable,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,2,43,1,1,1,2,4,3
220,Female,42,White,,Democrat,Liberal,Very interested,Approve Somewhat,Kentucky,4-year college degree,87,12,Friendly,Agree Slightly,Disagree Somewhat,Neutral,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,42,19,1,1,6,2,3
218,Female,29,White,,Independent / Other,Conservative,Slightly interested,Disapprove Somewhat,Louisiana,High school graduate,3,15,Unfriendly,Agree Strongly,Agree Slightly,Neutral,Very Unacceptable,Very Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,2,29,1,2,1,2,4,3
266,Female,45,White,,Republican,Slightly conservative,Moderately interested,Approve Somewhat,California,4-year college degree,30,84,Unfriendly,Agree Slightly,Agree Slightly,Very Acceptable,Very Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,2,45,20,1,1,6,9,4
940,Female,75,White,,Independent / Other,Slightly liberal,Moderately interested,Disapprove Strongly,Massachusetts,Did not graduate from high school,70,31,Friendly,Disagree Somewhat,Agree Slightly,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,75,5,1,1,1,4,1
174,Female,23,White,,Democrat,Extremely liberal,Extremely interested,Disapprove Strongly,Illinois,High school graduate,50,50,Unfriendly,Agree Somewhat,Disagree Somewhat,Somewhat Acceptable,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,23,16,1,1,2,1,2
352,Female,21,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Missouri,"Some college, but no degree (yet)",87,12,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Somewhat Unacceptable,Very Acceptable,Somewhat Acceptable,Neutral,Somewhat Acceptable,Somewhat Acceptable,2,21,8,1,1,6,1,2
189,Female,42,Black or African American,,Democrat,Extremely liberal,Extremely interested,Approve Strongly,Texas,2-year college degree,79,74,Ally,Agree Slightly,Agree Somewhat,Neutral,Somewhat Acceptable,Somewhat Acceptable,Neutral,Somewhat Acceptable,Somewhat Acceptable,2,42,6,2,1,4,1,3
426,Female,70,White,,Democrat,Slightly conservative,Very interested,Disapprove Strongly,Florida,High school graduate,80,0,Unfriendly,Agree Slightly,Disagree Somewhat,Very Acceptable,Very Acceptable,Neutral,Somewhat Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,2,70,3,1,1,2,1,3
788,Male,69,White,,Democrat,Liberal,Very interested,Disapprove Strongly,Florida,4-year college degree,76,56,Unfriendly,Agree Somewhat,Agree Strongly,Very Acceptable,Somewhat Acceptable,Somewhat Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,1,69,3,1,1,6,1,3
427,Female,37,White,,Republican,Extremely conservative,Extremely interested,Approve Strongly,Ohio,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",13,90,Enemy,Disagree Slightly,Disagree Somewhat,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,37,14,1,1,7,10,2
576,Female,23,White,,Independent / Other,Slightly conservative,Moderately interested,Disapprove Somewhat,Florida,High school graduate,75,67,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Somewhat Acceptable,Somewhat Unacceptable,Very Unacceptable,Somewhat Unacceptable,Neutral,Somewhat Acceptable,2,23,3,1,1,2,5,3
221,Female,51,Black or African American,,Democrat,Conservative,Extremely interested,Disapprove Strongly,North Carolina,2-year college degree,68,17,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,51,6,2,1,5,1,3
571,Female,69,White,,Republican,Conservative,Extremely interested,Approve Somewhat,Florida,"Some college, but no degree (yet)",4,71,Unfriendly,Agree Somewhat,Agree Somewhat,Very Acceptable,Somewhat Acceptable,Neutral,Neutral,Somewhat Acceptable,Neutral,2,69,9,1,1,4,9,3
355,Female,33,White,,Republican,"Moderate, middle of the road",Extremely interested,Approve Strongly,Arizona,"Some college, but no degree (yet)",0,100,Friendly,Disagree Strongly,Agree Strongly,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,Very Acceptable,2,33,3,1,1,6,10,4
380,Female,39,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Approve Strongly,Texas,Did not graduate from high school,18,90,Friendly,Disagree Strongly,Agree Slightly,Neutral,Somewhat Unacceptable,Neutral,Somewhat Acceptable,Neutral,Somewhat Acceptable,2,39,1,1,2,2,7,3
240,Male,40,White,,Republican,Conservative,Very interested,Approve Strongly,Michigan,High school graduate,0,50,Unfriendly,Agree Somewhat,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,1,41,8,1,1,2,10,2
349,Female,46,White,,Independent / Other,"Moderate, middle of the road",Moderately interested,Neither Approve nor Disapprove,Massachusetts,High school graduate,58,50,Ally,Disagree Somewhat,Neither Agree nor Disagree,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,46,2,1,1,2,4,1
567,Male,79,White,,Republican,Conservative,Very interested,Approve Strongly,Florida,High school graduate,29,90,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Very Acceptable,Very Acceptable,Very Unacceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,1,79,6,1,1,2,10,3
542,Female,31,White,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,North Carolina,High school graduate,50,38,Friendly,Disagree Strongly,Agree Somewhat,Somewhat Acceptable,Neutral,Somewhat Acceptable,Neutral,Very Unacceptable,Very Unacceptable,2,31,5,1,1,2,2,3
265,Male,41,White,,Republican,Slightly liberal,Very interested,Approve Strongly,Georgia,4-year college degree,94,94,Friendly,Agree Somewhat,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Unacceptable,1,41,7,1,1,6,10,3
418,Female,39,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Disapprove Strongly,Texas,Did not graduate from high school,0,0,Friendly,Neither Agree nor Disagree,Agree Slightly,Somewhat Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,39,20,1,1,2,7,3
448,Male,69,White,,Democrat,Extremely liberal,Extremely interested,Disapprove Strongly,Nevada,4-year college degree,90,10,Unfriendly,Disagree Somewhat,Agree Somewhat,Very Acceptable,Somewhat Unacceptable,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,1,69,4,1,1,6,1,4
368,Female,40,White,,Democrat,"Moderate, middle of the road",Extremely interested,Approve Strongly,Florida,"Some college, but no degree (yet)",89,19,Friendly,Neither Agree nor Disagree,Disagree Somewhat,Neutral,Neutral,Very Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,2,46,1,1,1,2,1,3
299,Female,22,Black or African American,,Democrat,"Moderate, middle of the road",Moderately interested,Disapprove Strongly,Illinois,"Some college, but no degree (yet)",69,10,Unfriendly,Neither Agree nor Disagree,Disagree Somewhat,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Somewhat Unacceptable,Somewhat Acceptable,2,22,1,2,1,6,2,2
420,Female,34,Black or African American,,Democrat,Extremely liberal,Very interested,Disapprove Strongly,North Carolina,"Some college, but no degree (yet)",100,1,Friendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,34,5,2,1,6,1,3
543,Female,25,White,,Republican,Conservative,Extremely interested,Approve Strongly,Louisiana,2-year college degree,49,75,Friendly,Agree Somewhat,Agree Slightly,Somewhat Acceptable,Somewhat Unacceptable,Neutral,Somewhat Acceptable,Somewhat Acceptable,Somewhat Acceptable,2,25,5,1,2,4,10,3
299,Female,28,White,,Independent / Other,"Moderate, middle of the road",Not interested at all,Disapprove Strongly,South Carolina,Did not graduate from high school,64,20,Unfriendly,Neither Agree nor Disagree,Agree Somewhat,Very Unacceptable,Neutral,Somewhat Unacceptable,Neutral,Somewhat Acceptable,Somewhat Acceptable,2,28,1,1,1,1,4,3
299,Female,32,White,,Democrat,Liberal,Very interested,Disapprove Strongly,Kansas,4-year college degree,80,19,Unfriendly,Agree Slightly,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,32,10,1,1,6,1,2
522,Female,43,Hispanic or Latino,,Democrat,Slightly liberal,Extremely interested,Disapprove Strongly,Florida,"Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)",99,25,Unfriendly,Agree Strongly,Neither Agree nor Disagree,Somewhat Acceptable,Very Acceptable,Very Unacceptable,Somewhat Acceptable,Neutral,Neutral,2,43,14,15,2,7,2,3
519,Female,44,Black or African American,,Democrat,"Moderate, middle of the road",Very interested,Disapprove Strongly,Texas,2-year college degree,100,0,Ally,Neither Agree nor Disagree,Agree Slightly,Very Acceptable,Somewhat Unacceptable,Somewhat Acceptable,Neutral,Very Unacceptable,Somewhat Unacceptable,2,44,1,2,1,4,1,3
298,Male,41,White,,Democrat,Slightly liberal,Slightly interested,Approve Somewhat,California,4-year college degree,94,53,Unfriendly,Neither Agree nor Disagree,Agree Somewhat,Somewhat Acceptable,Very Acceptable,Somewhat Acceptable,Somewhat Acceptable,Very Acceptable,Somewhat Acceptable,1,42,24,1,1,5,1,4
400,Male,25,Black or African American,,Democrat,"Moderate, middle of the road",Not interested at all,Disapprove Strongly,Ohio,High school graduate,67,0,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Neutral,Somewhat Unacceptable,Neutral,Somewhat Unacceptable,Very Unacceptable,Very Unacceptable,1,25,2,2,1,2,2,2
341,Female,50,Black or African American,,Democrat,Liberal,Moderately interested,Neither Approve nor Disapprove,Missouri,High school graduate,4,95,Unfriendly,Neither Agree nor Disagree,Neither Agree nor Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,50,1,2,1,2,1,2
1186,Female,47,White,,Republican,Extremely conservative,Very interested,Approve Strongly,Indiana,2-year college degree,30,85,Enemy,Agree Somewhat,Neither Agree nor Disagree,Very Acceptable,Very Acceptable,Very Unacceptable,Very Unacceptable,Somewhat Acceptable,Neutral,2,47,13,1,1,5,10,2
161,Female,38,White,,Republican,Liberal,Extremely interested,Approve Somewhat,Idaho,4-year college degree,49,82,Unfriendly,Agree Slightly,Neither Agree nor Disagree,Somewhat Acceptable,Very Unacceptable,Very Acceptable,Neutral,Somewhat Acceptable,Very Acceptable,2,38,9,1,1,6,10,4
539,Female,37,White,,Republican,Liberal,Very interested,Approve Strongly,Missouri,High school graduate,74,96,Enemy,Agree Strongly,Neither Agree nor Disagree,Very Acceptable,Very Acceptable,Very Unacceptable,Very Acceptable,Very Acceptable,Very Acceptable,2,37,4,1,1,2,10,2
369,Male,37,Black or African American,,Republican,Extremely conservative,Extremely interested,Approve Strongly,Texas,4-year college degree,0,100,Unfriendly,Agree Strongly,Disagree Slightly,Very Acceptable,Somewhat Unacceptable,Very Acceptable,Very Acceptable,Very Unacceptable,Very Unacceptable,1,37,20,2,1,6,10,3
242,Female,29,White,,Independent / Other,Extremely conservative,Not interested at all,Disapprove Strongly,Maryland,High school graduate,0,0,Unfriendly,Neither Agree nor Disagree,Disagree Strongly,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,29,14,1,1,2,4,3
497,Female,52,White,,Independent / Other,Liberal,Moderately interested,Neither Approve nor Disapprove,Pennsylvania,High school graduate,54,48,Enemy,Agree Strongly,Agree Somewhat,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,2,52,1,1,1,2,4,1
321,Female,35,Black or African American,,Democrat,Liberal,Very interested,Disapprove Strongly,Georgia,High school graduate,100,50,Friendly,Disagree Somewhat,Agree Somewhat,Neutral,Neutral,Somewhat Acceptable,Somewhat Acceptable,Neutral,Somewhat Unacceptable,2,35,1,4,1,2,1,3
469,Female,39,Native American,,Independent / Other,Extremely liberal,Slightly interested,Disapprove Somewhat,West Virginia,High school graduate,55,54,Ally,Disagree Strongly,Neither Agree nor Disagree,Very Acceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,Very Unacceptable,2,39,13,3,1,2,6,3
